0,1,2,3,4,5,6
+quarrelsome_warm,-shy_bold,-rational_whimsical,-lewd_tasteful,-open_guarded,-soulless_soulful,-adventurous_stick-in-the-mud
-angelic_demonic,-hesitant_decisive,+dramatic_no-nonsense,+clean_perverted,-playful_serious,-cruel_kind,+obedient_rebellious
+poisonous_nurturing,+confident_insecure,+juvenile_mature,-inappropriate_seemly,-random_pointed,+heroic_villainous,+tattle-tale_fuck-the-police
-wholesome_salacious,-self-conscious_self-assured,-concise_long-winded,+good-manners_bad-manners,-spontaneous_deliberate,+protagonist_antagonist,-wild_tame
-empath_psychopath,-claustrophobic_spelunker,-down2earth_headinclouds,-ludicrous_sensible,-loose_tight,-clinical_heartfelt,-maverick_conformist
+fearmongering_reassuring,+assertive_passive,-sturdy_flimsy,+prestigious_disreputable,+focused_absentminded,-genocidal_not-genocidal,-anarchist_statist
+stingy_generous,+badass_weakass,-objective_subjective,-rude_respectful,+rational_whimsical,+democratic_authoritarian,+stereotypical_boundary-breaking
+arrogant_humble,+alpha_beta,-factual_exaggerating,+works-hard_plays-hard,+studious_goof-off,+warm_cold,-radical_centrist
+entitled_grateful,+spicy_mild,-grounded_fantasy-prone,+diligent_lazy,-imaginative_practical,+friendly_unfriendly,+repetitive_varied
+selfish_altruistic,+dominant_submissive,-parental_childlike,+devout_heathen,-gregarious_private,+empath_psychopath,-spicy_mild
+debased_pure,+mighty_puny,-wise_foolish,-junkie_straight-edge,+methodical_astonishing,+transparent_machiavellian,+traditional_unorthodox
