straight_queer,young_old,masculine_feminine,rich_poor
straight_queer (1.0),young_old (1.0),masculine_feminine (1.0),rich_poor (1.0)
androgynous_gendered (-0.71),modern_historical (0.61),macho_metrosexual (0.68),proletariat_bourgeoisie (-0.84)
hipster_basic (-0.47),old-fashioned_progressive (-0.6),giggling_chortling (-0.6),blue-collar_ivory-tower (-0.79)
macho_metrosexual (0.45),trendy_vintage (0.57),glamorous_spartan (-0.58),oppressed_privileged (-0.72)
normal_weird (0.43),beautiful_ugly (0.54),tailor_blacksmith (-0.56),folksy_presidential (-0.68)
abstract_concrete (-0.42),vibrant_geriatric (0.52),utilitarian_decorative (0.56),lowbrow_highbrow (-0.67)
freak_normie (-0.42),attractive_repulsive (0.51),cat-person_dog-person (-0.53),extravagant_thrifty (0.66)
cat-person_dog-person (-0.42),giggling_chortling (0.51),feminist_sexist (-0.53),scruffy_manicured (-0.64)
quirky_predictable (-0.42),apprentice_master (0.5),scruffy_manicured (0.49),frugal_lavish (-0.63)
autistic_neurotypical (-0.42),liberal_conservative (0.5),kangaroo_dolphin (0.49),eloquent_unpolished (0.63)
classical_avant-garde (0.39),explorer_builder (0.49),refined_rugged (-0.47),refined_rugged (0.61)
